7202	3406	5693	7471	3640	7620	4270	3209	7832	652	9223372036854775807	3656	18	24	4159	3507	4603	3641	74	1520	2138	2262	5620	5464	2283	4033	8443	3068	3841	1963	6334	4659	2574	588	1593	567	4026	3403	4162	4623	4658	8566	2885	3789	5420	3525	4565	4074	5054	3191	7831	589	4665	4165	1809	470	4700	3862	7276	5231	4253	7481	574	7516	3296	3374	7699	8015	2987	2987	494	6810	3292	91	6726	4120	480	7989	4456	6225	4153	7354	945	2182	443	3966	7946	3919	6121	5700	4352
6716	328	7381	6985	31	7134	992	1176	7346	3712	3656	9223372036854775807	3654	3648	694	212	3419	78	3598	2136	2661	1597	4437	7151	1619	3006	7994	588	423	1832	5231	2334	3098	3599	2117	4001	1104	2148	1241	3287	3322	8117	1059	581	4085	1699	1102	1132	3718	1365	7382	3791	1203	1042	2332	4098	1237	1077	4951	3896	953	5156	3272	5191	971	1049	5374	7565	1383	1383	4194	5672	427	3763	5889	858	3900	7540	1080	3900	736	5029	3036	1908	3705	549	7497	657	3796	7387	934
7184	3388	5675	7453	3622	7602	4252	3191	7814	670	18	3654	9223372036854775807	6	4141	3489	4584	3623	55	1502	2120	2244	5602	5446	2265	4015	8425	3050	3823	1945	6316	4641	2556	570	1575	585	4007	3385	4144	4604	4640	8548	2867	3771	5402	3507	4546	4056	5036	3173	7813	607	4647	4146	1790	488	4682	3844	7258	5213	4235	7463	556	7498	3278	3356	7681	7997	2969	2969	513	6792	3274	109	6708	4102	498	7971	4438	6207	4135	7336	927	2164	425	3948	7928	3901	6103	5682	4334
7178	3382	5669	7448	3617	7597	4246	3186	7808	675	24	3648	6	9223372036854775807	4135	3483	4579	3617	50	1496	2114	2238	5597	5440	2260	4009	8419	3044	3817	1940	6310	4636	2551	565	1570	591	4002	3380	4139	4599	4634	8543	2862	3765	5396	3502	4541	4050	5030	3168	7807	612	4641	4141	1785	494	4676	3839	7252	5208	4230	7458	550	7492	3273	3351	7675	7991	2963	2963	518	6786	3268	115	6703	4096	503	7966	4433	6201	4130	7330	922	2159	419	3942	7922	3895	6097	5676	4328
6337	721	7883	6606	725	6756	650	954	6967	4214	4159	694	4141	4135	9223372036854775807	605	3041	616	4101	2639	3164	2100	4059	7654	2121	2627	7615	1044	271	2335	4852	1956	3600	4102	2619	4504	881	2650	1018	2909	2944	7738	1562	358	3706	2202	408	438	3340	1868	7003	4293	509	348	2835	4601	543	296	4572	3518	259	4777	3775	4812	863	784	4995	7187	1160	1160	4697	5294	820	4265	5510	635	4402	7162	448	3521	104	4650	3539	2410	4208	146	7118	435	3417	7890	302
6566	116	7231	6836	243	6985	903	1087	7196	3562	3507	212	3489	3483	605	9223372036854775807	3270	134	3449	1987	2512	1448	4288	7002	1469	2857	7844	439	334	1683	5082	2185	2948	3450	1967	3852	1015	1998	1152	3138	3173	7968	910	492	3936	1550	1013	1043	3569	1216	7232	3641	1114	953	2182	3949	1148	988	4801	3747	864	5007	3123	5041	822	900	5224	7416	1294	1294	4045	5523	215	3613	5739	769	3750	7391	991	3750	647	4879	2887	1758	3556	459	7347	568	3646	7238	845
2743	3154	8327	3013	3388	3162	3777	3013	3373	4658	4603	3419	4584	4579	3041	3270	9223372036854775807	3404	4545	3083	2464	3732	1178	8098	3753	675	4000	2831	3604	3433	1891	1085	2028	4546	3009	4948	3845	1328	3982	1003	1038	4124	2486	3485	1801	2370	3447	2956	1434	2110	3388	4737	3547	3046	2794	5045	3582	2744	2279	1612	3135	2074	4218	2039	2448	2370	1856	3572	2806	2806	5140	2367	3055	4709	2284	3762	4846	3547	3575	4737	3230	2094	3982	3652	4652	3272	3503	3561	4633	8334	3429
6700	250	7365	6970	109	7119	915	1099	7330	3696	3641	78	3623	3617	616	134	3404	9223372036854775807	3583	2121	2646	1582	4422	7136	1604	2991	7978	573	346	1817	5216	2319	3082	3584	2101	3986	1026	2132	1163	3272	3307	8102	1044	503	4070	1684	1025	1055	3703	1350	7366	3775	1125	964	2317	4083	1160	999	4936	3881	875	5141	3257	5175	956	1034	5358	7550	1305	1305	4179	5657	349	3747	5873	780	3884	7525	1003	3884	658	5013	3021	1892	3690	471	7482	580	3781	7372	857
7128	3333	5620	7398	3567	7547	4196	3136	7758	392	74	3598	55	50	4101	3449	4545	3583	9223372036854775807	1446	2065	2188	5547	5390	2210	3959	8369	2994	3767	1890	6260	4586	2501	515	1520	640	3952	3330	4089	4549	4584	8493	2812	3715	5347	3452	4491	4001	4980	3118	7757	662	4592	4091	1735	543	4626	3789	7203	5158	4180	7408	501	7442	3223	3301	7625	7941	2914	2914	568	6736	3218	164	6653	4046	553	7916	4383	6151	4080	7280	872	2109	370	3893	7873	3846	6048	5626	4278
5666	1871	5244	5936	2105	6085	2734	1674	6296	1575	1520	2136	1502	1496	2639	1987	3083	2121	1446	9223372036854775807	618	742	4101	5015	763	2513	6923	1548	2321	444	4814	3140	1055	1463	74	1865	2506	1883	2643	3103	3138	7046	1366	2269	3900	2005	3045	2554	3534	1671	6311	1654	3145	2645	289	1962	3180	2343	5756	3712	2734	5961	1136	5996	1776	1855	6179	6495	1467	1467	2058	5290	1772	1626	5207	2600	1763	6470	2978	4705	2634	5834	900	662	1569	2446	6426	2399	4601	5251	2832
5048	2396	5863	5317	2630	5467	3259	2199	5678	2194	2138	2661	2120	2114	3164	2512	2464	2646	2065	618	9223372036854775807	1267	3482	5633	1289	1895	6305	2073	2846	969	4196	2567	436	2081	545	2483	3031	1265	3168	2484	2520	6428	2423	2794	3282	2308	3570	3079	2916	2048	5693	2273	3670	3170	329	2580	3705	2868	4584	3093	3259	4379	1754	4344	2301	2380	4161	5877	1992	1992	2676	4672	2297	2245	4588	3125	2382	5851	3503	5230	3159	4398	1518	1187	2187	2971	5808	2924	5126	5869	3357
6315	1332	5986	6584	1566	6734	2195	1135	6945	2317	2262	1597	2244	2238	2100	1448	3732	1582	2188	742	1267	9223372036854775807	4756	5763	22	3168	8266	1015	1788	444	5504	2607	1710	2211	729	2613	1973	1921	2110	3560	3595	8390	833	1737	4358	1473	2512	2022	3991	1139	7654	2403	2613	2112	944	2710	2647	1810	5224	4169	2201	5429	1884	5463	1244	1322	5646	7838	935	935	2806	5945	1239	2375	6161	2067	2511	7813	2404	4172	2101	5301	1648	520	2317	1914	7770	1867	4069	5999	2299
